                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    152,                0.64972,                0.43308,                0.89375,                 0.8437,                0.78125,                0.84772,                 0.4608,                      0,                    inf,                      0,              0.0025255,              0.0025255,              0.0025255
                    153,                0.61869,                0.42203,                0.87724,                0.83777,                0.80695,                 0.8564,                0.45341,                      0,                    inf,                      0,               0.002476,               0.002476,               0.002476
                    154,                0.65997,                0.43745,                0.89899,                0.86317,                0.78862,                0.83469,                0.45125,                      0,                    inf,                      0,              0.0024265,              0.0024265,              0.0024265
                    155,                0.64605,                0.41393,                0.87387,                0.82855,                0.78125,                0.80482,                 0.4474,                      0,                    inf,                      0,               0.002377,               0.002377,               0.002377
                    156,                 0.6832,                0.44904,                0.90163,                0.80177,                0.79688,                0.80448,                0.45055,                      0,                    inf,                      0,              0.0023275,              0.0023275,              0.0023275
                    157,                0.65443,                0.42948,                0.87986,                0.78639,                 0.8125,                0.80892,                0.46443,                      0,                    inf,                      0,               0.002278,               0.002278,               0.002278
                    158,                0.66292,                0.43754,                0.87971,                0.83505,                0.79108,                0.84169,                0.45161,                      0,                    inf,                      0,              0.0022285,              0.0022285,              0.0022285
                    159,                0.60782,                0.42748,                0.88914,                0.83304,                0.79688,                0.84661,                0.44247,                      0,                    inf,                      0,               0.002179,               0.002179,               0.002179
                    160,                0.63003,                0.43946,                0.88666,                0.79277,                0.79688,                0.82604,                0.46001,                      0,                    inf,                      0,              0.0021295,              0.0021295,              0.0021295
                    161,                0.58173,                0.39172,                 0.8779,                0.85503,                 0.7373,                0.83579,                0.46332,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                    162,                0.64754,                0.43591,                0.87691,                0.86125,                0.77597,                0.82961,                0.44613,                      0,                    inf,                      0,              0.0020305,              0.0020305,              0.0020305
                    163,                0.63456,                0.44016,                0.87333,                0.86956,                0.76562,                0.84106,                0.45286,                      0,                    inf,                      0,               0.001981,               0.001981,               0.001981
                    164,                0.58512,                0.40264,                0.86477,                0.84809,                   0.75,                0.82063,                0.45177,                      0,                    inf,                      0,              0.0019315,              0.0019315,              0.0019315
                    165,                 0.5774,                0.41673,                0.88344,                0.86712,                0.73438,                0.80847,                0.44862,                      0,                    inf,                      0,               0.001882,               0.001882,               0.001882
                    166,                0.61885,                0.42424,                0.88792,                0.86617,                0.73438,                0.80709,                0.44129,                      0,                    inf,                      0,              0.0018325,              0.0018325,              0.0018325
                    167,                0.58877,                0.40109,                 0.8816,                0.86696,                0.73438,                0.80955,                0.43837,                      0,                    inf,                      0,               0.001783,               0.001783,               0.001783
